2025-10-01 08:12:50,433 | ERROR | APIREST | Erreur connexion au startup : Erreur de connexion : 
2025-10-01 08:12:58,281 | INFO | APIREST | Client OPC UA déconnecté à l’API
2025-10-01 08:13:04,242 | ERROR | APIREST | Erreur connexion au startup : Erreur de connexion : 
2025-10-01 08:26:04,417 | INFO | APIREST | Client OPC UA déconnecté à l’API
2025-10-01 08:26:10,360 | ERROR | APIREST | Erreur connexion au startup : Erreur de connexion : 
2025-10-01 08:37:15,705 | INFO | APIREST | Client OPC UA déconnecté à l’API
2025-10-01 08:37:26,199 | ERROR | APIREST | Erreur connexion au startup : Erreur de connexion : 
2025-10-01 08:37:36,275 | INFO | APIREST | Client OPC UA déconnecté à l’API
2025-10-01 08:37:53,173 | ERROR | APIREST | Erreur connexion au startup : Erreur de connexion : 
2025-10-01 08:38:00,806 | INFO | APIREST | Client OPC UA déconnecté à l’API
2025-10-01 08:38:16,002 | ERROR | APIREST | Erreur connexion au startup : Erreur de connexion : 
2025-10-01 08:40:08,984 | INFO | APIREST | Client OPC UA déconnecté à l’API
2025-10-01 08:40:14,234 | ERROR | APIREST | Erreur connexion au startup : Erreur de connexion : 
2025-10-01 08:40:46,808 | INFO | APIREST | Client OPC UA déconnecté à l’API
2025-10-01 08:40:52,405 | ERROR | APIREST | Erreur connexion au startup : Erreur de connexion : 
2025-10-01 08:41:59,547 | INFO | APIREST | Client OPC UA déconnecté à l’API
2025-10-01 08:42:05,172 | ERROR | APIREST | Erreur connexion au startup : Erreur de connexion : 
2025-10-01 08:42:09,181 | ERROR | APIREST | Erreur connexion au startup : Erreur de connexion : 
2025-10-01 08:42:35,726 | INFO | APIREST | Client OPC UA déconnecté à l’API
2025-10-01 08:42:35,730 | INFO | APIREST | Client OPC UA déconnecté à l’API
2025-10-01 08:42:41,006 | ERROR | APIREST | Erreur connexion au startup : Erreur de connexion : 
2025-10-01 08:42:45,013 | ERROR | APIREST | Erreur connexion au startup : Erreur de connexion : 
2025-10-01 08:43:22,974 | INFO | APIREST | Client OPC UA déconnecté à l’API
2025-10-01 08:43:22,974 | INFO | APIREST | Client OPC UA déconnecté à l’API
2025-10-01 08:43:29,239 | ERROR | APIREST | Erreur connexion au startup : Erreur de connexion : 
2025-10-01 08:43:33,246 | ERROR | APIREST | Erreur connexion au startup : Erreur de connexion : 
2025-10-01 09:05:27,847 | INFO | APIREST | Client OPC UA déconnecté à l’API
2025-10-01 09:05:27,847 | INFO | APIREST | Client OPC UA déconnecté à l’API
2025-10-01 09:05:33,237 | ERROR | APIREST | Erreur connexion au startup : Erreur de connexion : 
2025-10-01 09:05:37,266 | ERROR | APIREST | Erreur connexion au startup : Erreur de connexion : 
2025-10-01 09:09:27,613 | INFO | APIREST | Client OPC UA déconnecté à l’API
2025-10-01 09:09:27,613 | INFO | APIREST | Client OPC UA déconnecté à l’API
2025-10-01 09:10:43,409 | ERROR | APIREST | Erreur connexion au startup : Erreur de connexion : 
2025-10-01 09:10:47,413 | ERROR | APIREST | Erreur connexion au startup : Erreur de connexion : 
2025-10-01 09:12:16,813 | INFO | APIREST | Client OPC UA déconnecté à l’API
2025-10-01 09:12:16,813 | INFO | APIREST | Client OPC UA déconnecté à l’API
2025-10-01 09:12:22,140 | ERROR | APIREST | Erreur connexion au startup : Erreur de connexion : 
2025-10-01 09:12:26,150 | ERROR | APIREST | Erreur connexion au startup : Erreur de connexion : 
